Code,Mfr,Model,Type,Horsepower,Thrust
24519,WARNER,40,Reciprocating,125,
24520,WARNER,50,Reciprocating,125,
24600,EAGLE IVEX,IO-360,4 Cycle,180,
24700,ECI,IOX-360,Reciprocating,188,
24701,ECI,XO-340,Reciprocating,185,
24702,ECI,IOX-340S,Reciprocating,185,
24703,ECI,O-340,Reciprocating,180,
24704,ECI,IOX320B1L1N4,Reciprocating,185,
24705,ECI,OX-340CC,Reciprocating,80,
24706,ECI,CC340,Reciprocating,180,
24707,ECI,EXPIO360A4B9N,Reciprocating,180,
24708,ECI,IO-360,Reciprocating,210,
24709,ECI,O360A1A,Reciprocating,180,
24711,ENSTROJ,EMRAX 228,Electric,74,
24715,ECI,DIO360A1L1N40,Reciprocating,185,
24720,JB ENGINES,IOX-360-A1A9N,Reciprocating,180,
24751,EPA POWER,SA-R917 SER,4 Cycle,130,
25101,EGGENFELLN,E6T,Reciprocating,220,
25102,EDGE,EP912STI,4 Cycle,177,
25103,EDGE,EPEX 300 TI,4 Cycle,313,
25104,EDGE,EP315ECI,4 Cycle,120,
25105,EDGE,EP917TI,4 Cycle,160,
25902,ENGINE ALL,GP7277,Turbo-fan,,80290
25903,ENGINE ALL,GP7270,Turbo-fan,,74735
25904,EVINRUDE,STARFLITE,Reciprocating,85,
26001,FAIRCHILD,6-390 SERIES,Reciprocating,150,
26002,FAIRCHILD,6-410 SERIES,Reciprocating,175,
26003,FAIRCHILD,6-440 SERIES,Reciprocating,200,
26004,FAIRCHILD,V-770B SERIES,Reciprocating,315,
26005,FAIRCHILD,6-440-C2,Reciprocating,175,
26006,FAIRCHILD,6-440-C3,Reciprocating,180,
26007,FAIRCHILD,6-440-C4,Reciprocating,190,
26008,FAIRCHILD,6-440-C5,Reciprocating,200,
26009,FAIRCHILD,SGV-770C SER,Reciprocating,550,
26010,FAIRCHILD,FT-101E,Turbo-jet,1000,
26011,FAIRCHILD,SGV-770-B3,Reciprocating,420,
26012,FAIRCHILD,SGV-770-B4,Reciprocating,450,
26013,FAIRCHILD,SGV-770-G6,Reciprocating,500,
26014,FAIRCHILD,SGV-770-B7,Reciprocating,520,
26015,FAIRCHILD,SGV-770C-1,Reciprocating,520,
26016,FAIRCHILD,SGV-770C-1B,Reciprocating,520,
26017,FAIRCHILD,SGV-770C-1C,Reciprocating,500,
26018,FAIRCHILD,SGV-770C-2A,Reciprocating,550,
26019,FAIRCHILD,SGV-770C-2C,Reciprocating,550,
26020,FAIRCHILD,V-770-6,Reciprocating,520,
26021,FAIRCHILD,V-770-11,Reciprocating,500,
26022,FAIRCHILD,V-770-15,Reciprocating,500,
26023,FAIRCHILD,V-77 0-8,Reciprocating,550,
26024,FAIRCHILD,6-390,Reciprocating,120,
26025,FAIRCHILD,V-770-SG,Reciprocating,420,
26026,FAIRCHILD,6-390-B,Reciprocating,145,
26027,FAIRCHILD,6-390-D,Reciprocating,145,
26028,FAIRCHILD,6-390-D3,Reciprocating,150,
26029,FAIRCHILD,V-770-B4,Reciprocating,315,
26030,FAIRCHILD,SGV-770-B5,Reciprocating,450,
26031,FAIRCHILD,6-410-B1,Reciprocating,165,
26032,FAIRCHILD,6-41-B1A,Reciprocating,165,
26033,FAIRCHILD,6-410-B2,Reciprocating,165,
26034,FAIRCHILD,6-410-B2A,Reciprocating,165,
26035,FAIRCHILD,6-410-B2B,Reciprocating,165,
26036,FAIRCHILD,6-410-B3,Reciprocating,175,
26136,RANGER,L440-3,4 Cycle,180,
26601,FIREWALL F,CAM 100,Reciprocating,100,
26701,FORD,CONVERSION,Reciprocating,60,
26715,FORD,MODEL A,Reciprocating,39,
26800,FIATE,MZ202,2 Cycle,63,
27001,FRANKLIN,2A4 SERIES,Reciprocating,49,
27002,FRANKLIN,4AC150-40,Reciprocating,40,
27003,FRANKLIN,4AC150-50,Reciprocating,50,
27004,FRANKLIN,4AC150-A,Reciprocating,60,
27005,FRANKLIN,4AC171,Reciprocating,60,
27006,FRANKLIN,4AC176B SER,Reciprocating,65,
27007,FRANKLIN,4AC176C-D-F,Reciprocating,80,
27008,FRANKLIN,4AC199B SER,Reciprocating,65,
27009,FRANKLIN,4AC199D&E SER,Reciprocating,90,
27010,FRANKLIN,4ACG199H3,Reciprocating,113,
27011,FRANKLIN,4A235 SERIES,Reciprocating,135,
27012,FRANKLIN,0-425-9,Reciprocating,245,
27013,FRANKLIN,SPORT 4B1SER,Reciprocating,85,
27014,FRANKLIN,4A4100 SERIES,Reciprocating,100,
27015,FRANKLIN,6AC264 SERIES,Reciprocating,120,
27016,FRANKLIN,6AC298 SERIES,Reciprocating,130,
27017,FRANKLIN,6ACT298 SER,Reciprocating,130,
27018,FRANKLIN,4AC-A199B2,Reciprocating,65,
27019,FRANKLIN,4AC-199D2,Reciprocating,85,
27020,FRANKLIN,6A&6V335 SER,Reciprocating,210,
27021,FRANKLIN,4A225 SERIES,Reciprocating,225,
27022,FRANKLIN,4AC-199B3,Reciprocating,65,
27023,FRANKLIN,6A-350SER,Reciprocating,235,
27024,FRANKLIN,6A4150 SERIES,Reciprocating,150,
27025,FRANKLIN,6A4165 SERIES,Reciprocating,165,
27026,FRANKLIN,6AG4185 SER,Reciprocating,185,
27027,FRANKLIN,6A4200 SERIES,Reciprocating,200,
27028,FRANKLIN,4AC-199D3,Reciprocating,85,
27029,FRANKLIN,4AC-199E2,Reciprocating,90,
27030,FRANKLIN,6A8 SERIES,Reciprocating,215,
27031,FRANKLIN,4AC-199D3,Reciprocating,90,
27032,FRANKLIN,4AC3-199HE,Reciprocating,113,
27033,FRANKLIN,6V4 SERIES,Reciprocating,210,
27034,FRANKLIN,2A4-49-B2,Reciprocating,49,
27035,FRANKLIN,2AL-112-A2,Reciprocating,49,
27036,FRANKLIN,6V6 SERIES,Reciprocating,245,
27037,FRANKLIN,2A4-65-B2,Reciprocating,45,
27038,FRANKLIN,6V6-245-B16F,Reciprocating,245,
27039,FRANKLIN,6V-335 SERIES,Reciprocating,200,
27040,FRANKLIN,6VS-335 SER,Reciprocating,240,
27041,FRANKLIN,220,Reciprocating,220,
27042,FRANKLIN,6A-350-C1,Reciprocating,220,
27043,FRANKLIN,6V 350 SERIES,Reciprocating,235,
27044,FRANKLIN,0-425-1,Reciprocating,285,
27045,FRANKLIN,4AC-176-B2,Reciprocating,65,
27046,FRANKLIN,4AC-176-B3,Reciprocating,65,
27047,FRANKLIN,4AC-176-BA2,Reciprocating,65,
27048,FRANKLIN,4AC-176-BA3,Reciprocating,65,
27049,FRANKLIN,4AC-176-C2,Reciprocating,75,
27050,FRANKLIN,4AC-176-C3,Reciprocating,75,
27051,FRANKLIN,4AC-176-D2,Reciprocating,80,
27052,FRANKLIN,4AC-176-D3,Reciprocating,80,
27053,FRANKLIN,4AC-176-F2,Reciprocating,80,
27054,FRANKLIN,4AC-176-F3,Reciprocating,80,
27055,FRANKLIN,6AC-298-D2,Reciprocating,130,
27056,FRANKLIN,6AC-298-D3,Reciprocating,130,
27057,FRANKLIN,6AC-298-E2,Reciprocating,130,
27058,FRANKLIN,6AC-298-E3,Reciprocating,130,
27059,FRANKLIN,6AC-298-F2,Reciprocating,130,
27060,FRANKLIN,6AC-298-F3,Reciprocating,130,
27061,FRANKLIN,6V-335-A,Reciprocating,210,
27062,FRANKLIN,6ACT-298-J4,Reciprocating,130,
27063,FRANKLIN,6ACT-298-J5,Reciprocating,130,
27064,FRANKLIN,6ACT-298-M4,Reciprocating,130,
27066,FRANKLIN,6AC-264-F3,Reciprocating,120,
27067,FRANKLIN,6AC-264-D2,Reciprocating,110,
27068,FRANKLIN,6AC-264-D3,Reciprocating,110,
27069,FRANKLIN,6A-335-B1,Reciprocating,180,
27070,FRANKLIN,O-335,Reciprocating,150,
27071,FRANKLIN,6A-350-C2,Reciprocating,215,
28001,FUNK,FUNK E,Reciprocating,63,
29001,GARRETT,TFE731 SERIES,Turbo-fan,,3500
29002,GARRETT,ATF 3 SERIES,Turbo-jet,2020,
29003,GARRETT,TPE331-25A,Turbo-prop,575,
29004,GARRETT,TPE331-25AA,Turbo-prop,575,
29005,GARRETT,TPE331-25AB,Turbo-prop,575,
29006,GARRETT,TPE331-25B,Turbo-prop,575,
29007,GARRETT,TPE331-25C,Turbo-prop,575,
29008,GARRETT,TPE331-25D,Turbo-prop,575,
29009,GARRETT,TPE331-25DA,Turbo-prop,575,
29010,GARRETT,TPE331-25DB,Turbo-prop,575,
29011,GARRETT,TPE331-25E,Turbo-prop,575,
29012,GARRETT,TPE331-25F,Turbo-prop,575,
29013,GARRETT,TPE331-25FA,Turbo-prop,575,
29014,GARRETT,TPE331-29A,Turbo-prop,575,
29015,GARRETT,TPE331-43,Turbo-prop,575,
29016,GARRETT,TPE331-43-A,Turbo-prop,575,
29017,GARRETT,TPE331-43-B,Turbo-prop,575,
29018,GARRETT,TPE331-45,Turbo-prop,575,
29019,GARRETT,TPE331-47,Turbo-prop,575,
29020,GARRETT,TPE331-47-A,Turbo-prop,575,
29021,GARRETT,TPE331-47-B,Turbo-prop,575,
29022,GARRETT,TPE331-51,Turbo-prop,575,
29023,GARRETT,TPE331-55,Turbo-prop,575,
29024,GARRETT,TPE331-55-A,Turbo-prop,575,
29025,GARRETT,TPE331-55-B,Turbo-prop,575,
29026,GARRETT,TPE331-57,Turbo-prop,575,
29027,GARRETT,TPE331-57-B,Turbo-prop,575,
29028,GARRETT,TPE331-61,Turbo-prop,575,
29029,GARRETT,TPE331-61-A,Turbo-prop,575,
29030,GARRETT,TPE331-1,Reciprocating,665,
29031,GARRETT,TPE331-1U,Turbo-prop,665,
29032,GARRETT,TPE331-1UA,Turbo-prop,665,
29033,GARRETT,TPE331-2,Turbo-prop,715,
29034,GARRETT,TPE331-2U,Turbo-prop,715,
29035,GARRETT,TPE331-2UA,Turbo-prop,715,
29036,GARRETT,TPE331-3,Turbo-prop,840,
29037,GARRETT,TPE331-3U,Turbo-prop,840,
29038,GARRETT,TPE331-3UW,Turbo-prop,840,
29039,GARRETT,TPE331-3W,Turbo-prop,840,
29040,GARRETT,TPE331-10UA,Turbo-prop,840,
29041,GARRETT,TPE331-5,Turbo-prop,776,
29042,GARRETT,TPE331-5A,Turbo-prop,840,
29043,GARRETT,TPE331-5AB,Turbo-prop,840,
29044,GARRETT,TPE331-5B,Turbo-prop,776,
29045,GARRETT,TPE331-5U,Turbo-prop,776,
29046,GARRETT,TPE331-6,Turbo-prop,750,
29047,GARRETT,TPE331-6A,Turbo-prop,750,
29048,GARRETT,TPE331-6U,Turbo-prop,750,
29049,GARRETT,TPE331-8,Turbo-prop,715,
29050,GARRETT,TPE331-8A,Turbo-prop,715,
29051,GARRETT,TPE331-9,Turbo-prop,865,
29052,GARRETT,TPE331-9U,Turbo-prop,865,
29053,GARRETT,TPE331-10,Turbo-prop,940,
29054,GARRETT,TPE331-10A,Turbo-prop,940,
29055,GARRETT,TPE331-10AV,Turbo-prop,750,
29056,GARRETT,TPE331-10B,Turbo-prop,940,
29057,GARRETT,TPE331-10G,Turbo-prop,940,
29058,GARRETT,TPE331-10GP,Turbo-prop,840,
29059,GARRETT,TPE331-10GR,Turbo-prop,940,
29060,GARRETT,TPE331-10GT,Turbo-prop,840,
29061,GARRETT,TPE331-10J,Turbo-prop,1000,
29062,GARRETT,TPE331-10N,Turbo-prop,715,
29063,GARRETT,TPE331-10P,Turbo-prop,776,
29064,GARRETT,TPE331-10R,Turbo-prop,940,
29065,GARRETT,TPE331-10T,Turbo-prop,776,
29066,GARRETT,TPE331-10U,Turbo-prop,940,
29067,GARRETT,TPE331-10UF,Turbo-prop,940,
29068,GARRETT,TPE-331-10UG,Turbo-prop,940,
29069,GARRETT,TPE331-10UGR,Turbo-prop,940,
29070,GARRETT,TPE331-10UJ,Turbo-prop,1000,
29071,GARRETT,TPE331-10UK,Turbo-prop,1000,
29072,GARRETT,TPE331-10UR,Turbo-prop,940,
29073,GARRETT,TPE331-11U,Turbo-prop,1000,
29074,GARRETT,TPE331-11UA,Turbo-prop,1000,
29075,GARRETT,TPE331-12,Turbo-prop,940,
29076,GARRETT,TPE331-12B,Turbo-prop,1100,
29077,GARRETT,TPE331-12JR,Turbo-prop,1000,
29078,GARRETT,TPE331-12UA,Turbo-prop,1100,
29079,GARRETT,TPE331-6-252B,Turbo-prop,715,
29080,GARRETT,TPE331-12UER,Turbo-prop,1100,
29081,GARRETT,TPE331-12UHR,Turbo-prop,1100,
29082,GARRETT,TSE331-3U,Turbo-shaft,800,
29083,GARRETT,TSE36-1,Turbo-shaft,240,
29084,GARRETT,ATF3-6,Turbo-fan,5440,
29085,GARRETT,ATF3-6A,Turbo-fan,5440,
29086,GARRETT,TFE731-2,Turbo-fan,,3500
29087,GARRETT,TFE731-2A,Turbo-fan,,3600
29088,GARRETT,TFE731-2B,Turbo-fan,,3500
29089,GARRETT,TPE331-12UAR,Turbo-prop,1100,
29090,GARRETT,TFE731-2BR,Turbo-fan,,3650
29091,GARRETT,TFE731-2C,Turbo-fan,,3500
29092,GARRETT,TFE731-3,Turbo-fan,,3700
29093,GARRETT,TFE731-3R,Turbo-fan,,3880
29094,GARRETT,TFE731-3A,Turbo-fan,,3700
29095,GARRETT,TFE731-3AR,Turbo-fan,,3880
29096,GARRETT,TFE731-3B,Turbo-fan,,3650
29097,GARRETT,TFE731-3BR,Turbo-fan,,3850
29098,GARRETT,TFE731-3C,Turbo-fan,,3700
29099,GARRETT,TFE731-3CR,Turbo-fan,,3880
29100,GARRETT,TFE731-3D,Turbo-fan,,3700
29101,GARRETT,TFE731-3DR,Turbo-fan,,3880
29102,GARRETT,TFE731-4,Turbo-fan,,4080
29103,GARRETT,TFE731-4R,Turbo-fan,,4080
29104,GARRETT,TFE731-5,Turbo-fan,,4304
29105,GARRETT,TFE731-5A,Turbo-fan,,4500
29106,GARRETT,TFE731-5AR,Turbo-fan,,4500
29107,GARRETT,TFE731-5B,Turbo-fan,,4750
29108,GARRETT,TFE731-5BR,Turbo-fan,,4750
29109,GARRETT,TFE731-5R,Turbo-fan,,4500
29110,GARRETT,TPE331-14A,Turbo-prop,1250,
29111,GARRETT,TPE331-14B,Turbo-prop,1250,
29112,GARRETT,TPE331-14F,Turbo-prop,1250,
29113,GARRETT,TPE331-14GR,Turbo-prop,1650,
29114,GARRETT,TPE331-14HR,Turbo-prop,1650,
29115,GARRETT,TPE331-15AW,Turbo-prop,1645,
29116,GARRETT,TFE731-2-2B,Turbo-fan,,3500
29117,GARRETT,T-76,Turbo-prop,750,
29118,GARRETT,TPE331-10 SER,Turbo-prop,940,
29119,GARRETT,TFE731-2-1C,Turbo-fan,3500,
29120,GARRETT,TSE331-10UA,Turbo-shaft,840,
30001,GE,CT58,Turbo-shaft,1350,
30002,GE,J85-GE-5A,Turbo-jet,,3850
30003,GE,TG190B,Turbo-jet,500,
30004,GE,CJ805-3,Turbo-jet,,11200
30005,GE,CJ805-23,Turbo-jet,,15850
30006,GE,CJ610-SER,Turbo-jet,2700,
30007,GE,JT79 SERIES,Turbo-jet,1580,
30008,GE,T58 SERIES,Turbo-shaft,1350,
30009,GE,J47 SERIES,Turbo-jet,300,
30010,GE,CF700 SERIES,Turbo-fan,,4200
30011,GE,CT58 SERIES,Turbo-shaft,1350,
30012,GE,T64-GE-10,Turbo-shaft,2850,
30013,GE,CJ610-5&6,Turbo-jet,,2780
30014,GE,CJ610-8&9,Turbo-jet,,2930
30015,GE,CF34 SERIES,Turbo-fan,,9140
30016,GE,CFM56 SERIES,Turbo-fan,,9800
30017,GE,CF6-45A2,Turbo-fan,,45600
30018,GE,CF6-50 SER,Turbo-fan,,50000
30019,GE,CT64-820-4,Turbo-prop,3133,
30020,GE,CF6-6,Turbo-fan,,40000
30021,GE,CF34-10E5,Turbo-fan,,18820
30022,GE,CF34-10E5A1,Turbo-fan,,18820
30023,GE,CF34-10E6,Turbo-fan,,18820
30024,GE,CF34-10E6A1,Turbo-fan,,18820
30025,GE,CF6-80 SERIES,Turbo-fan,,47600
30026,GE,CF700-2C,Turbo-fan,,4200
30027,GE,CF700-2D,Turbo-fan,,4325
30028,GE,CF700-2D-2,Turbo-fan,,4500
30029,GE,T700 SERIES,Turbo-shaft,1543,
30030,GE,CT7 SERIES,Turbo-shaft,1560,
30031,GE,CT7-SER,Turbo-prop,1600,
30032,GE,700-2D-2,Turbo-jet,,45000
30033,GE,CF-34-1A,Turbo-fan,,9140
30034,GE,CJ-610-4,Turbo-jet,,2850
30035,GE,CJ-610-8A,Turbo-jet,,2950
30036,GE,GE90-90B,Turbo-fan,,94000
30037,GE,CJ805-3A,Turbo-jet,,11200
30038,GE,CJ805-3B,Turbo-jet,,11650
30039,GE,CJ805-23B,Turbo-jet,,16100
30040,GE,YF-120,Turbo-fan,5000,
30041,GE,CJ805-23C,Turbo-jet,,16100
30042,GE,GE90-76B,Turbo-fan,,81070
30043,GE,GE90-77B,Turbo-fan,,81700
30044,GE,GE90-85B,Turbo-fan,,88870
30045,GE,GE90-94B,Turbo-fan,,97300
30046,GE,GE90-110B1,Turbo-fan,,110760
30047,GE,GE90-113B,Turbo-fan,,113530
30048,GE,GE90-115B,Turbo-fan,,115540
30049,GE,CF34-8C1,Turbo-fan,,13790
30050,GE,CF34-8C5,Turbo-fan,,14510
30051,GE,CF34-8C5A1,Turbo-fan,,14510
30052,GE,CF34-8C5B1,Turbo-fan,,13790
30053,GE,CF34-8C5A2,Turbo-fan,,14510
30054,GE,CF34-8C5A3,Turbo-fan,,14510
30055,GE,CF34-8D1,Turbo-fan,,13830
30056,GE,CF34-8D3,Turbo-fan,,14240
30057,GE,CF34-8D5,Turbo-fan,,14470
30058,GE,CF34-8D6,Turbo-fan,,14470
30059,GE,CF34-8E2,Turbo-fan,,13300
30060,GE,CF34-8E2A1,Turbo-fan,,13300
30061,GE,CF34-8E5,Turbo-fan,,14510
30062,GE,CF34-8E5A1,Turbo-fan,,14510
30063,GE,CF34-8E5A2,Turbo-fan,,14510
30064,GE,CF34-8E6,Turbo-fan,,14050
30065,GE,CF34-8E6A1,Turbo-fan,,14050
30066,GE,CF34-3A,Turbo-fan,,9220
30067,GE,CF34-3A2,Turbo-fan,,9220
30068,GE,CF34-3A1,Turbo-fan,,9220
30069,GE,CF34-3B,Turbo-fan,,9220
30070,GE,CF34-3B1,Turbo-fan,,9220
30071,GE,CF6-80E1A1,Turbo-fan,,63290
30072,GE,CF6-80E1A2,Turbo-fan,,64530
30073,GE,CF6-80E1A4,Turbo-fan,,66870
30074,GE,CF6-80E1A3,Turbo-fan,,68530
30075,GE,CF6-80E1A4/B,Turbo-fan,,68530
30076,GE,CF6-6D,Turbo-fan,,39300
30077,GE,CF6-6D1,Turbo-fan,,40300
30078,GE,CF6-6D1A,Turbo-fan,,40900
30079,GE,CF6-6K,Turbo-fan,,39300
30080,GE,CF6-6K2,Turbo-fan,,40900
30081,GE,CF6-50A,Turbo-fan,,48400
30082,GE,CF6-50C,Turbo-fan,,50400
30083,GE,CF6-50CA,Turbo-fan,,50400
30084,GE,CF6-50C1,Turbo-fan,,51800
30085,GE,CF6-50C2,Turbo-fan,,51800
30086,GE,CF6-50C2D,Turbo-fan,,51800
30087,GE,CF6-50E,Turbo-fan,,51800
30088,GE,CF6-50E1,Turbo-fan,,51800
30089,GE,CF6-50E2,Turbo-fan,,51800
30090,GE,CF6-50C2B,Turbo-fan,,53200
30091,GE,CF6-50E2B,Turbo-fan,,53200
30092,GE,CF6-45A,Turbo-fan,,45600
30093,GE,CF6-80A,Turbo-fan,,46930
30094,GE,CF6-80A1,Turbo-fan,,46990
30095,GE,CF6-80A2,Turbo-fan,,48670
30096,GE,CF6-80A3,Turbo-fan,,48970
30097,GE,CF6-80C2A1,Turbo-fan,,57860
30098,GE,CF6-80C2A2,Turbo-fan,,52460
30099,GE,CF6-80C2B1,Turbo-fan,,55980
30100,GE,CF6-80C2B4,Turbo-fan,,57180
30101,GE,CF6-80C2A3,Turbo-fan,,58950
30102,GE,CF6-80C2B2,Turbo-fan,,51950
30103,GE,CF6-80C2B6,Turbo-fan,,60070
30104,GE,CF6-80C2A5,Turbo-fan,,60100
30105,GE,CF6-80C2A8,Turbo-fan,,57860
30106,GE,CF6-80C2B1F,Turbo-fan,,57160
30107,GE,CF6-80C2B2F,Turbo-fan,,52010
30108,GE,CF6-80C2B4F,Turbo-fan,,57280
30109,GE,CF6-80C2B6F,Turbo-fan,,60030
30110,GE,CF6-80C2D1F,Turbo-fan,,60690
30111,GE,CF6-80C2B1F1,Turbo-fan,,60030
30112,GE,CF6-80C2B3F,Turbo-fan,,52010
30113,GE,CF6-80C2A5F,Turbo-fan,,60100
30114,GE,CF6-80C2B7F,Turbo-fan,,60030
30115,GE,CF6-80C2B1F2,Turbo-fan,,60030
30116,GE,CF6-80C2B6FA,Turbo-fan,,60030
30117,GE,CF6-80C2B5F,Turbo-fan,,60030
30118,GE,CF6-80C2B8F,Turbo-fan,,60030
30119,GE,CF6-80C2L1F,Turbo-fan,,51250
30120,GE,CJ610-1,Turbo-jet,,2850
30121,GE,CJ610-5,Turbo-jet,,2950
30122,GE,CJ610-6,Turbo-jet,,2950
30123,GE,CJ610-8,Turbo-jet,,3100
30124,GE,CJ610-9,Turbo-jet,,3100
30125,GE,CT58-100-2,Turbo-shaft,1050,
30126,GE,CT58-110-1,Turbo-shaft,1250,
30127,GE,CT58-110-2,Turbo-shaft,1250,
30128,GE,CT58-140-1,Turbo-shaft,1400,
30129,GE,CT58-140-2,Turbo-shaft,1400,
30130,GE,CT7A-2A,Turbo-shaft,1625,
30131,GE,CT7-2D,Turbo-shaft,1625,
30132,GE,CT7-2D1,Turbo-shaft,1625,
30133,GE,CT7-6,Turbo-shaft,2000,
30134,GE,CT7-6A,Turbo-shaft,2000,
30135,GE,CT7-8,Turbo-shaft,2520,
30136,GE,CT7-8A,Turbo-shaft,2520,
30137,GE,CT7-8A5,Turbo-shaft,2634,
30138,GE,CT7-8B,Turbo-shaft,2529,
30139,GE,CT7-8B5,Turbo-shaft,2609,
30140,GE,CT7-8E,Turbo-shaft,2527,
30141,GE,CT7-8E5,Turbo-shaft,2608,
30142,GE,CT7-8F,Turbo-shaft,2474,
30143,GE,CT7-8F5,Turbo-shaft,2603,
30144,GE,CT7-5A2,Turbo-prop,1735,
30145,GE,CT7-5A3,Turbo-prop,1665,
30146,GE,CT7-7A,Turbo-prop,1700,
30147,GE,CT7-7A1,Turbo-prop,1700,
30148,GE,CT7-9B,Turbo-prop,1750,
30149,GE,CT7-9C,Turbo-prop,1750,
30150,GE,CT7-9C3,Turbo-prop,1750,
30151,GE,CT7-9B1,Turbo-prop,1750,
30152,GE,CT7-9B2,Turbo-prop,1750,
30153,GE,CT7-9D,Turbo-prop,1750,
30154,GE,CT7-9D2,Turbo-prop,1750,
30155,GE,T700-GE-701D,Turbo-shaft,1994,
30156,GE,T58-GE-402,Turbo-shaft,1500,
30157,GE,T700-GE-401C,Turbo-shaft,1880,
30158,GE,CT7,Turbo-shaft,1700,
30159,GE,T64-GE-413,Turbo-shaft,3925,
30160,GE,T64-GE-416,Turbo-shaft,4380,
30161,GE,J79-J1E,Turbo-jet,,18750
30162,GE,J85-5H,Turbo-jet,,3850
30163,GE,GENX SERIES,Turbo-fan,,56300
30164,GE,CF34-10E7 SER,Turbo-fan,,20360
30165,GE,GENX-2B67B,Turbo-fan,,67400
30166,GE,CF34-3,Turbo-fan,,9220
30167,GE,T58-GE-8B,Turbo-shaft,1250,
30168,GE,T700-GE-700,Turbo-shaft,1561,
30169,GE,T700-GE-701,Turbo-shaft,1696,
30170,GE AV,H80-100,Turbo-prop,800,
30171,GE AV,M601E-11,Turbo-prop,751,
30172,GE AV,M601E-11S,Turbo-prop,751,
30173,GE AV,M601E-11A,Turbo-prop,705,
30174,GE AV,M601E-11AS,Turbo-prop,705,
30175,GE AV,M601F,Turbo-prop,777,
30176,GE AV,M601D-11,Turbo-prop,604,
30177,GE AV,H80,Turbo-prop,800,
30178,GE AV,H80-200,Turbo-prop,800,
30179,GE,T64-GE-419,Turbo-shaft,4750,
30180,GE AVN CZ,H75-100,Turbo-prop,751,
30181,MCCULLOCH,4318 SERIES,Reciprocating,72,
30182,GE,H75-200,Turbo-prop,850,
30183,GE,CT7-8A7,Turbo-shaft,2685,
30184,GE,CT7-2A,Turbo-shaft,1625,
30185,GE,F-404-GE-102,Turbo-fan,,17700
30186,GE,F-404-GE-102B,Turbo-fan,,17700
30187,GE,F404-GE-102D,Turbo-fan,,17700
30188,GE,F110-GE-129E,Turbo-fan,,29500
30189,GE,J79-11B,Turbo-jet,,15600
30190,GE,YT706-GE-700,Turbo-shaft,2638,
30191,GE,J85-17A,Turbo-jet,,2850
30195,GE,GE PASSPORT20,Turbo-fan,,18920
30199,GE,J85 SER,Turbo-jet,,2950
30200,GE HONDA,HF-120,Turbo-fan,,2050
30201,GE,GE90 SERIES,Turbo-fan,,81000
30204,GESCHWENDE,GFV-8-3,Reciprocating,500,
30205,GE,GE9X SERIES,Turbo-fan,,105000
30210,GE,GENX-1B54,Turbo-fan,,57400
30211,GE,GENX-1B58,Turbo-fan,,61000
30212,GE,GENX-1B64,Turbo-fan,,67000
30213,GE,GENX-1B67,Turbo-fan,,69400
30214,GE,GENX-1B70,Turbo-fan,,72300
30215,GE,GENX-1B54/P1,Turbo-fan,,57400
30216,GE,GENX-1B58/P1,Turbo-fan,,61000
30217,GE,GENX-1B64/P1,Turbo-fan,,67000
30218,GE,GENX-1B67/P1,Turbo-fan,,69400
30219,GE,GENX-1B70/P1,Turbo-fan,,72300
30220,GE,GENX-1B70/72/,Turbo-fan,,72300
30221,GE,GENX-1B70/75/,Turbo-fan,,72300
30222,GE,GENX-1B74/75/,Turbo-fan,,76700
30223,GE,GENX-1B75/P1,Turbo-fan,,77600
30224,GE,GENX-1B54/P2,Turbo-fan,,57400
30225,GE,GENX-1B58/P2,Turbo-fan,,61000
30226,GE,GENX-1B64/P2,Turbo-fan,,67000
30227,GE,GENX-1B67/P2,Turbo-fan,,69400
30228,GE,GENX-1B70/P2,Turbo-fan,,72300
30231,GE,GENX-1B76A/P2,Turbo-fan,,68600
30232,GE,GENX-1B75/P2,Turbo-fan,,77600
30233,GE,GENX-1B78/P2,Turbo-fan,,80400
30234,GE,GENX-2B67,Turbo-fan,,67400
30235,GE,GENX-2B67/P,Turbo-fan,,67400
30238,GE,GENX-1B76/P2,Turbo-fan,,78500
30239,GE,T700-GE-701C,Turbo-shaft,1890,
30240,GE,1300-CS1A,Turbo-prop,1300,
30241,GE,T701 SERIES,Turbo-shaft,2000,
30242,GE,J85-21C,Turbo-jet,,3600
30243,GE,PASSPORT 20,Turbo-fan,,17325
30800,GLADDEN,C-5,Reciprocating,210,
30801,GLADDEN,B-5,Reciprocating,125,
30802,GLADDEN,B-54,Reciprocating,125,
30803,GLADDEN,R-440-1,Reciprocating,132,
30804,GLADDEN,R-440-3,Reciprocating,132,
30805,GLADDEN,R-55,Reciprocating,160,
30806,GLADDEN,R-56,Reciprocating,160,
30807,GLADDEN,R-540-1,Reciprocating,160,
30808,GLADDEN,R-540-2,Reciprocating,160,
30809,GLADDEN,R-5 SERIES 2,Reciprocating,160,
30900,GM,ECO TEC 2.4L,Reciprocating,182,
30901,GM,LS1,Reciprocating,345,
30902,GM,LS6,Reciprocating,385,
30904,GM,CORVAIR,Reciprocating,180,
30905,GM,LS3,Reciprocating,430,
30906,GM,LS376,Reciprocating,495,
31001,GEIGER,HPD16,Electric,20,
31004,GNOME,ROTARY,Reciprocating,160,
31100,G & N,IO-320-GNX,Reciprocating,160,
31132,GE,J-79-15A,Turbo-jet,4000,
31500,GREATPLAIN,GREATPLAIN VW,Reciprocating,100,
31501,GREATPLAIN,2180CC VW,Reciprocating,76,
